EFX_ID,EFX_NAME,EFX_ADDRESS,EFX_CITY,EFX_STATE,EFX_ZIPCODE,EFX_ZIP4,EFX_CTRYISOCD,EFX_CTRYNAME,EFX_COUNTY,EFX_LEGSUBNUMALL,EFX_LEGSUBNAMEALL,EFX_LEGSUBADDRESSALL,EFX_LEGSUBCITYALL,EFX_LEGSUBSTATEALL,EFX_LEGSUBZIPCODEALL,EFX_LEGSUBZIP4ALL,EFX_LEGSUBCTRYISOCDALL,EFX_LEGSUBCTRYNAMEALL,EFX_LEGSUBCOUNTYALL,EFX_LEGDOMULTNUMALL,EFX_LEGDOMULTNAMEALL,EFX_LEGDOMULTAddressALL,EFX_LEGDOMULTCITYALL,EFX_LEGDOMULTSTATEALL,EFX_LEGDOMULTZIPCODEALL,EFX_LEGDOMULTZIP4ALL,EFX_LEGDOMULTCTRYISOCDALL,EFX_LEGDOMULTCTRYNAMEALL,EFX_LEGDOMULTCOUNTYALL,EFX_LEGULTNUMALL,EFX_LEGULTNAMEALL,EFX_LEGULTADDRESSALL,EFX_LEGULTCITYALL,EFX_LEGULTSTATEALL,EFX_LEGULTZIPCODEALL,EFX_LEGULTZIP4ALL,EFX_LEGULTCTRYISOCDALL,EFX_LEGULTCTRYNAMEALL,EFX_LEGULTCOUNTYALL,EFX_AFFLULTNUMALL,EFX_AFFLULTNAMEALL,EFX_AFFLULTADDRESSALL,EFX_AFFLULTCITYALL,EFX_AFFLULTSTATEALL,EFX_AFFLULTZIPCODEALL,EFX_AFFLULTZIP4ALL,EFX_AFFLULTCTRYISOCDALL,EFX_AFFLULTCTRYNAMEALL,EFX_AFFULTCOUNTYALL,tot_col,md5sum
178034974,CIS BY DELOITTE,2434 GALENA LN ,KANNAPOLIS,NC,28083,5403,USA,United States of America,025,176677545,CIS,3809 W CHESTER PIKE,NEWTOWN SQUARE,PA,19073,2331,USA,United States of America,045,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"178034974CIS BY DELOITTE2434 GALENA LN KANNAPOLISNC280835403USAUnited States of America025176677545CIS3809 W CHESTER PIKENEWTOWN SQUAREPA190732331USAUnited States of America045561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",0c348d27a5a9b618b2f0b3043cabc3cb
37449348,"DOBLIN, INC",5738 WHITSETT AVE APT 202,VALLEY VILLAGE,CA,91607,1562,USA,United States of America,037,7494876,DOBLIN INC,111 S WACKER DR FL 28,CHICAGO,IL,60606,4317,USA,United States of America,031,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"37449348DOBLIN, INC5738 WHITSETT AVE APT 202VALLEY VILLAGECA916071562USAUnited States of America0377494876DOBLIN INC111 S WACKER DR FL 28CHICAGOIL606064317USAUnited States of America031561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",c84b3044fd3566a2df00aa2d315e23bb
155262713,HEAT,109 MARION STREET ,SEATTLE,WA,98104,,USA,United States of America,033,88433709,HEAT INDUSTRIES,1100 SANSOME ST,SAN FRANCISCO,CA,94111,1205,USA,United States of America,075,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"155262713HEAT109 MARION STREET SEATTLEWA98104USAUnited States of America03388433709HEAT INDUSTRIES1100 SANSOME STSAN FRANCISCOCA941111205USAUnited States of America075561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",98d7b229bfa1522eb7e163a8789b36c3
178002186,CIS BY DELOITTE,4236 WITTENBERG DR ,CARY,NC,27519,7049,USA,United States of America,183,176677545,CIS,3809 W CHESTER PIKE,NEWTOWN SQUARE,PA,19073,2331,USA,United States of America,045,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"178002186CIS BY DELOITTE4236 WITTENBERG DR CARYNC275197049USAUnited States of America183176677545CIS3809 W CHESTER PIKENEWTOWN SQUAREPA190732331USAUnited States of America045561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",2f72832065def972e7e287ebcb10ac46
155262714,HEAT,111 S WACKER DR ,CHICAGO,IL,60606,4302,USA,United States of America,031,88433709,HEAT INDUSTRIES,1100 SANSOME ST,SAN FRANCISCO,CA,94111,1205,USA,United States of America,075,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"155262714HEAT111 S WACKER DR CHICAGOIL606064302USAUnited States of America03188433709HEAT INDUSTRIES1100 SANSOME STSAN FRANCISCOCA941111205USAUnited States of America075561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",ebac0cd5207f84d5be29dbce8df4a3c3
117386869,ATADATA,2000 HARRISON AVE ,BUTTE,MT,59701,6045,USA,United States of America,093,140476143,ATADATA,22 TECHNOLOGY PKWY S,PEACHTREE CORNERS,GA,30092,9807,USA,United States of America,135,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"117386869ATADATA2000 HARRISON AVE BUTTEMT597016045USAUnited States of America093140476143ATADATA22 TECHNOLOGY PKWY SPEACHTREE CORNERSGA300929807USAUnited States of America135561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",b30d15c38dd29623feccf138032ff13b
206966802,"SFL SCIENTIFIC, LLC",32 LISA DR ,LEOMINSTER,MA,01453,4620,USA,United States of America,027,162053272,SFL SCIENTIFIC,3 BATTERYMARCH PARK,QUINCY,MA,02169,7500,USA,United States of America,021,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"206966802SFL SCIENTIFIC, LLC32 LISA DR LEOMINSTERMA014534620USAUnited States of America027162053272SFL SCIENTIFIC3 BATTERYMARCH PARKQUINCYMA021697500USAUnited States of America021561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",6cf3213c54a3a749796035f02ce47310
57511398,BERSIN BY DELOITTE,6114 LA SALLE AVE STE 417,OAKLAND,CA,94611,2802,USA,United States of America,001,31086924,BERSIN BY DELOITTE,6114 LA SALLE AVE,OAKLAND,CA,94611,2802,USA,United States of America,001,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"57511398BERSIN BY DELOITTE6114 LA SALLE AVE STE 417OAKLANDCA946112802USAUnited States of America00131086924BERSIN BY DELOITTE6114 LA SALLE AVEOAKLANDCA946112802USAUnited States of America001561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",195a2bea3c42d24f1a9c6f37409ac4e9
628098,BARRASSO CONSULTING LLC,203 ELM ST ,WESTFIELD,NJ,07090,3120,USA,United States of America,039,33724855,BARRASSO CONSULTING L.L.C.,219 E BROAD ST,WESTFIELD,NJ,07090,2119,USA,United States of America,039,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"628098BARRASSO CONSULTING LLC203 ELM ST WESTFIELDNJ070903120USAUnited States of America03933724855BARRASSO CONSULTING L.L.C.219 E BROAD STWESTFIELDNJ070902119USAUnited States of America039561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",1aacba483f1b959eaa0d579c896ffe59
37206947,INNOWAKE INTERNATIONAL INC,580 CALIFORNIA ST STE 1300,SAN FRANCISCO,CA,94104,1014,USA,United States of America,075,114447738,INNOWAKE INTERNATIONAL INC,2815 EXPOSITION BLVD,AUSTIN,TX,78703,1207,USA,United States of America,453,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,561430,DELOITTE US DENVER,30 ROCKEFELLER PLZ STE 4350,NEW YORK,NY,10112,4399,USA,United States of America,061,103467149,DELOITTE TOUCHE TOHMATSU LIMITED,"HILL HOUSE, 1 LITTLE NEW STREET",LONDON,,EC4A 3TR,,GBR,United Kingdom of Great Britain and Northern Ireland,,"37206947INNOWAKE INTERNATIONAL INC580 CALIFORNIA ST STE 1300SAN FRANCISCOCA941041014USAUnited States of America075114447738INNOWAKE INTERNATIONAL INC2815 EXPOSITION BLVDAUSTINTX787031207USAUnited States of America453561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061561430DELOITTE US DENVER30 ROCKEFELLER PLZ STE 4350NEW YORKNY101124399USAUnited States of America061103467149DELOITTE TOUCHE TOHMATSU LIMITEDHILL HOUSE, 1 LITTLE NEW STREETLONDONEC4A 3TRGBRUnited Kingdom of Great Britain and Northern Ireland",2ab67c5d433852ff4f9f8d5f64526f72
